# d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9
0.000000000000000000e+00,0.000000000000000000e+00,-1.020930688053036217e+00,1.148365563675270318e+00,1.518479573504371460e+00,-3.446847439451911077e-02,5.095330666171552503e-01,-2.514658820177001486e-01,-1.167775044861198097e+00,1.116264352438175900e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.870356772387964162e+00,1.030973874179894834e+00,1.470707879592171530e+00,-2.671251645326556956e-02,1.407098391677895854e+00,-7.893789144709108252e-02,1.405476389200960741e+00,-7.997708382016063822e-02
0.000000000000000000e+00,0.000000000000000000e+00,-9.536028775707419136e-01,1.154735701800116754e+00,1.498433620654968434e+00,-3.901522755294008216e-02,1.164118616587211719e+00,-2.408689040776853807e-01,1.169244370808443456e+00,-2.360779096011045575e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.980551870162130079e+00,9.454075205631599088e-01,1.536497800651648760e+00,5.208101130709263948e-02,1.428726268250333442e+00,-5.899738804186478031e-02,1.418566508782347135e+00,-6.711605284050610465e-02
0.000000000000000000e+00,0.000000000000000000e+00,-1.125905075482900086e+00,1.116766265046920559e+00,1.753866933531245564e+00,4.473053836526537097e-01,-1.457929630018506062e+00,-1.914784267510617755e-01,-1.097529472855272470e+00,1.123200427275286239e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.976719511757922376e+00,1.135820238911038338e+00,1.116794056869261809e+00,-3.510247739571284997e-01,-1.327982593494622554e+00,1.102680492036947957e+00,1.580951777357928023e+00,5.987630338478686087e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.662866753226629912e+00,1.160619010487219382e+00,1.235063021764789104e+00,-2.662473202126188210e-01,7.647473553825711035e-01,-2.026219698642826028e-01,1.024190830990083567e+00,-3.012114753367912678e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.936424713234719874e+00,1.096305773234632186e+00,1.265092279342289849e+00,-2.425308029016294553e-01,9.682699020618741326e-01,-2.499265239160425867e-01,1.034238132266519061e+00,-2.734920440176732415e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.718795882302875278e+00,1.283230491466608614e+00,7.019412773052655652e-01,-5.311283275742681997e-01,-8.587133942312769053e-01,1.356229974455487319e+00,1.266196761055285780e+00,-3.246635504632273683e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.026573710918407212e+00,1.087761946012892222e+00,1.413430625756164627e+00,-1.241818585762356209e-01,8.540326937128392970e-01,-2.754351894745629692e-01,1.127383504566155770e+00,-2.747804887870955448e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.030480116377962219e+00,1.117411798673143997e+00,1.086909340831769377e+00,-3.778420613877316869e-01,-1.152563372789886520e+00,1.255090767005883512e+00,1.533530915373629178e+00,-1.045782936785807915e-02
0.000000000000000000e+00,0.000000000000000000e+00,2.032208545961534885e+00,1.108707637809867919e+00,1.418911563477692983e+00,-1.204723431913683473e-01,7.040453344671960823e-01,-2.648814338916842259e-01,-5.396914729651223208e-01,1.547888424730037515e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.036520544296260393e+00,1.132647662411170097e+00,1.383615968199392698e+00,-1.655952125486769011e-01,-1.777006021363677579e+00,2.069345107287339502e-01,1.954200728979320623e+00,8.766401277124779012e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.301296528967324395e+00,1.245366558744420704e+00,1.032407171644891042e+00,-3.964062180378452038e-01,-1.210825241814138309e+00,1.178031982960133561e+00,1.479358187823955229e+00,-8.808107571240399170e-02
0.000000000000000000e+00,0.000000000000000000e+00,2.120254049553285114e+00,1.434822992282241083e+00,1.856024817641882985e+00,6.601292892176179317e-01,1.661739618296820264e+00,2.608747750723677816e-01,1.558062565374151998e+00,9.497483304091819400e-02
