# p_0,p_1
5.435510557774763107e-01,1.302682866564140562e+00
1.293317171621206629e+00,1.403549658340820683e+00
8.086124666506870895e-01,1.525907972017953806e+00
1.361673571206585276e+00,8.385550452191112836e-01
2.724164138608616836e-01,1.116792122044184543e+00
5.961259760461254942e-01,5.799137530507814109e-01
7.421237470289117066e-01,8.773820913392909038e-01
8.049657716552087727e-01,8.456557718890278519e-01
2.381815165761369535e-01,2.715640090596159739e-01
9.213835414570242799e-01,3.030068011732616196e-01
5.584282310279915507e-01,3.898618176760216270e-01
9.029064478730659538e-01,2.499560004712820804e-01
8.147807628275617331e-01,1.730798289583111993e-01
4.718933882458986040e-01,6.272101734444432974e-01
1.494188832803744482e+00,8.961335414355187101e-02
9.234418884597057620e-01,1.035769803996252847e+00
7.982311162402802029e-01,3.304596465424144425e-01
1.096579800217801548e+00,5.866883126984052677e-01
8.793623388451499157e-01,6.624240183410052829e-01
2.497847336830139042e+00,1.295047037447514704e+00
4.421463671270198237e-02,1.147229539030960588e+00
1.439437248918322920e+00,1.375566817648771201e+00
1.759239797338757016e+00,7.006358575622694262e-01
4.583525366558850456e-01,3.123835827851841329e-01
6.957106618184059066e-01,6.956042990482623756e-01
9.719580802608589476e-01,8.193425950496526777e-01
1.299634169519841009e+00,5.495563618705960884e-01
9.401704686521701326e-01,1.155255434778385437e+00
6.206585014710963577e-02,1.240734783516470152e+00
1.008164015342377651e+00,1.344368283295048760e-01
1.101994629397294645e+00,7.230367229095285841e-01
5.541842827681474626e-01,6.001609242878263029e-01
1.165557550012365828e+00,1.490824849986503331e+00
3.114969042072992522e-01,6.998396147554180047e-01
2.509965702929712883e-01,6.197693478751296059e-01
2.866791719107423253e-01,1.220511338647179977e+00
1.595494175501618761e+00,1.090780747497792635e+00
5.537314658222507457e-01,1.164243179779361537e+00
6.862244631574382359e-01,9.458483919837116227e-01
7.888800912216571426e-01,3.018617894810508573e-01
4.096253390590799959e-01,1.327286234998180436e+00
3.727653926118008054e-01,5.393082864804645826e-01
1.031713543829403390e+00,1.749104832930919784e+00
2.341195453175769492e-01,1.167851426653669700e+00
7.218580458408631051e-01,1.576696034329612139e+00
5.081265249761117708e-01,1.719341463904992873e+00
2.142219484627096993e+00,9.149413255752381069e-02
1.153030303334687812e-01,8.536667881380711753e-01
1.329209719034876613e+00,9.270067957120968760e-01
1.031387189559444417e+00,5.737225067624112107e-01
1.486904561144243520e+00,2.750273190515528654e-02
9.523742450822696437e-01,9.756646682587121200e-01
7.765328791881267456e-01,9.564643306553202162e-01
4.103715185746958927e-02,9.119576884332504241e-01
5.881789180288710117e-02,1.063258947641483765e+00
1.201458638431373238e+00,9.383078441535080971e-01
6.890439167962378875e-01,1.242749141894276210e+00
8.109036024597612302e-01,1.450675295622859684e-01
9.202208330866656905e-01,5.685109075119113564e-01
2.968170555065143823e-01,5.633825959352597446e-01
1.515773933274051855e+00,1.134532295745482866e+00
5.215150080823087730e-01,5.464486426863671698e-01
9.738992424981038898e-01,1.361508031987622935e+00
1.048221123641051911e+00,6.524586575026050106e-01
2.028085727686157469e+00,6.943102332365855833e-01
2.723557766042087325e-01,1.014457623709106082e+00
4.062584410067234253e-01,1.594161568564284037e+00
8.438261810336135094e-01,5.947032377244032553e-02
1.071314181951092959e+00,8.284170712022203009e-01
1.313349654737997696e+00,9.847427836365729714e-01
1.015831067603525373e-01,1.289280950447700302e+00
9.289609603675784699e-01,1.386781582071334507e+00
9.737714539833530747e-01,4.275237951757654975e-01
1.223448225809604217e+00,1.169452025636236181e+00
5.994184793878457596e-01,7.045584984570324449e-01
5.731884564212452737e-02,5.604206647501491778e-01
1.563187867920604601e+00,6.831463970328701674e-01
2.554415419785814323e-01,1.506989621762183651e-01
8.905024131516855457e-01,9.941661094351155192e-01
1.588532614670345566e+00,1.321711112882933303e+00
5.989435003649967726e-01,4.134106196742183825e-01
5.411246475712045978e-01,7.855792020037200007e-02
3.208222935531947484e-01,1.352856541706860538e+00
4.295904207383327567e-01,1.468756683962742837e+00
6.225866546716218863e-01,1.075166738258904742e+00
5.165347903421948494e-01,1.730514008886226307e+00
3.927772174154828266e-01,6.989396579617941363e-01
1.402099089932674847e+00,1.004057291814898667e+00
1.063329547626401084e+00,1.455613501785825159e-01
8.605751813346269596e-01,1.699911705727515709e+00
1.674294395981201777e+00,6.328240145136614370e-01
2.202872379917009127e-01,1.379342606416087857e+00
8.052140699071259622e-01,1.147936055517920328e+00
7.234978256366739746e-01,1.406153220480601540e+00
3.575733204753041572e-01,3.434835526414808937e-01
3.274756242165723918e-01,7.397540630437199338e-01
2.564920866894488949e-01,1.130063217355694816e+00
2.481696297918722927e-01,1.295839100878338535e+00
3.473212824808958876e-01,3.619602826334367141e-01
1.105527087699975652e+00,1.111075331944613387e+00
3.128788015684994539e-01,8.978863653995430294e-01
5.231238670606319641e-01,1.160119378013619418e+00
2.064283804949162970e-01,8.422405535614004846e-01
5.476518063612538789e-01,1.577733039098878631e-01
1.502197311701054527e+00,1.485479332836171285e+00
1.084124385269467306e+00,1.331695258259949277e+00
1.098400378697932833e+00,8.556205626242706641e-01
1.128256185598624839e+00,5.411041001360528124e-02
1.462266557363811614e+00,1.001352284996200659e+00
3.545818351024542792e-01,1.160924764853941582e+00
8.933535007399404648e-01,1.365863716914093917e+00
9.854839770275571897e-01,9.527212961851244666e-01
1.137399421884593975e-01,3.564935736822671952e-01
1.710860985995906081e+00,1.071618749968521911e+00
5.884378308333003682e-01,9.457855626481186384e-01
1.148355951502364247e+00,5.277835218043013255e-01
1.449109625250180500e+00,1.034137784282711969e+00
1.095717194946526085e+00,1.309821678708363413e+00
1.467090986448684520e+00,9.231866830519501743e-01
9.500685008391358544e-01,1.559695616857876388e+00
9.500393789144754297e-01,3.687611108902836832e-01
6.029226588900102879e-01,4.858694233443453525e-01
6.580392757097246470e-01,8.859822708896258892e-01
3.825099187950535273e-01,1.364623154174576802e+00
1.118395730463449311e+00,1.841612004228692090e+00
1.051021852029607739e+00,1.195265122621801623e+00
9.381424853466513447e-02,1.614122202885316604e+00
1.491945530065224457e+00,1.933452685597351062e-01
6.789314073667240823e-02,1.297810708724414841e+00
1.038087090250789268e+00,5.292896030973508470e-01
9.568312563634828738e-02,9.656408904307871577e-01
6.897434527875123678e-01,1.085987122603446098e+00
1.042186135717377615e+00,3.446534425924091538e-01
1.189294754628243744e+00,1.273281073663270480e-01
8.395974543912073651e-01,1.329384246975846562e+00
1.037695539432527125e+00,1.216720209685754117e+00
9.061316709109723533e-01,6.226642047704117333e-01
1.142913961710323667e+00,6.776608046791272599e-01
3.751871066925862030e-01,2.506890599096421868e-01
1.018905914008213509e+00,1.218725474832327293e+00
6.546548532069051962e-01,1.040498192772108865e+00
5.857426593860796116e-01,5.542668562743817695e-01
9.070523409106358015e-01,1.426295191970806453e+00
9.011345707548144013e-01,9.245439240311053020e-01
1.158905417363769397e+00,1.542147861325639191e+00
2.154631578582363871e-01,5.792109755335183019e-01
3.273271560587695528e-01,1.369466844098085945e+00
7.488828304590477991e-02,1.106164454278916853e+00
1.147578841130364014e+00,1.208398708890393580e+00
7.685072481903811870e-01,8.062413158778447553e-01
1.261331396045620723e+00,9.792746783591741444e-01
2.762861920331801002e+00,9.148328030963979174e-01
1.159669332808175746e+00,1.032266389805614359e+00
9.443919005331751215e-01,3.598746556757692616e-02
1.123678239332217110e+00,6.805135420640018307e-02
1.252727104473713160e-01,1.068754546948413431e+00
1.355095072031083703e+00,7.780878541776614643e-02
2.197740222860350423e-01,8.049295644588744247e-01
7.385708161768796964e-01,4.658175617152819914e-01
8.089313493439679315e-01,1.014354321013509530e+00
1.616223407186752059e+00,2.812073105762024072e-01
2.838461491322616381e-01,8.295736991510010983e-01
6.375457329569261811e-01,1.151593946288658854e+00
1.109377203026441272e+00,8.030419077540560391e-01
1.197815567720376784e+00,9.819098173862153001e-01
1.353192595024603317e+00,9.164124264339088555e-01
1.382092240862037524e+00,8.361540642729408113e-01
3.895367983997186645e-01,1.466222101477043349e+00
8.883028755203044025e-01,6.655949766581763516e-01
1.607884395601718586e+00,7.584412315119350989e-01
6.920252532735016171e-02,6.499732455568038025e-01
3.475524930934585921e-01,2.437969864329092573e-01
1.223628864275755346e-01,1.795761878116395316e+00
1.050460239305607502e+00,1.721214434012934058e+00
2.812326962267824304e-01,7.830640664098758030e-01
1.491422573976979082e+00,5.510726561239409627e-02
6.997299255418055752e-01,8.297603620071913877e-01
8.575075910507443666e-01,1.152442258616593662e+00
7.743022329817130789e-01,1.269545995401466953e+00
9.478868207618047492e-01,9.850291107496388365e-01
3.550781421550148753e-01,3.458063172001313301e-02
3.436412177917974597e-01,1.615005694480331710e+00
7.461426489030524856e-01,6.450668689873858552e-01
8.355254167902489426e-01,1.081319171898043052e-01
1.062721241526957128e+00,9.187001944400163822e-02
4.738629067419062868e-01,6.142959627958807234e-01
1.595256306270489866e+00,1.486520302813292282e+00
3.849120827854413673e-01,8.746305902756048578e-01
3.597961738694636646e-01,4.317710589102263796e-02
8.744894239712468487e-01,7.529683634268786729e-01
3.484767960888217608e-01,6.894929602747883468e-01
4.663813452079801358e-01,6.376650399309844452e-01
3.307019579005557874e-01,9.219851100273209754e-01
1.268784759588094335e+00,6.719489061959780241e-01
1.177843489661108523e+00,3.356423316134908297e-01
8.186110189429107731e-01,1.926893298829727152e+00
6.141135595542032144e-01,2.143016992085907679e-01
7.389899245278767070e-01,3.489718351577542621e-01
7.133058353931824858e-01,6.065750326349013122e-01
1.424214604328568168e+00,1.093059315511167418e+00
2.746665541027196733e-01,1.145271856825694545e+00
2.424130451267475506e-01,6.271194857247692767e-01
7.752949291114823449e-01,1.359229698663765529e+00
7.747949038214396733e-02,9.501493607050953694e-01
3.859265519052066939e-01,6.007815901955241289e-01
2.556801468754612561e-01,1.577073704505155050e+00
1.181061805242856755e+00,9.285384677099005613e-01
6.462657023629672093e-01,2.982277097275056743e-01
4.851232302249843809e-01,9.374974484251442641e-01
9.522562170603976472e-01,5.067001148312817449e-01
8.140789858542010204e-01,6.867389172795048680e-01
9.985948213288073916e-01,1.611281972873677137e+00
7.519342711059336937e-01,1.389253013554274219e+00
8.632511515393841428e-01,8.972992740530322253e-01
4.339047121411760966e-01,1.670709881067555802e-02
1.246953675485634072e+00,4.035696532998337416e-01
3.871064824870567578e-01,1.227813711250198558e+00
7.102122771584820082e-01,1.084305225295849162e+00
