# d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9
1.726926783907437035e-02,3.514179811321866114e-03,1.583969714266974638e+00,1.299097785543438466e+00,1.278333729877521252e+00,-1.363214954778597110e-01,7.134166086485365099e-01,-2.705865507088244248e-01,1.035633238751394458e+00,-3.728292536218185682e-01
-1.158741323891490788e-01,-9.295955183596200933e-02,1.629716278357382420e+00,1.052547617674763680e+00,9.814162016944605327e-01,-5.245640711481864837e-01,-1.195866940142906065e+00,1.226775252507288139e+00,1.698392366622137217e+00,-3.304669400992907846e-01
-2.112647967124317572e-01,-6.195557161354254411e-02,-1.462206570738126210e+00,8.725522756016746984e-01,-1.360015529032176040e+00,1.064765839796249169e+00,-1.489151844493858956e+00,1.167802600703091054e+00,-1.311352807168059798e+00,5.198781473363547345e-01
-3.076948203519502822e-01,-6.091173392274066428e-02,2.079058772432828217e+00,7.460911526799778315e-01,1.619866703533860974e+00,-2.763684280662719317e-01,1.556660191920596681e+00,-4.426839387257683334e-02,1.790405559742452857e+00,4.010358478574587160e-01
1.468812973489841134e-01,-4.035161467357466746e-03,1.389540671485776979e+00,1.105765583738572033e+00,1.511733531607605041e+00,-1.644033825104065649e-01,1.379285677636514329e+00,-2.224109145904248075e-01,1.315737882957838778e+00,-2.085885477314840808e-01
1.678512103431135938e-02,2.783100727334824054e-01,-4.558673718269091735e-01,9.695237919060131215e-01,1.435886754730615111e+00,-8.322415316413571684e-01,-1.523550556443608262e+00,2.513071911553982352e-02,1.934232145283595328e+00,6.904424619403461971e-01
4.482280723559985414e-01,4.892026006671190003e-02,1.752446828567782999e-02,1.480044745927951544e+00,1.006563567509690227e+00,-7.994401024635344744e-01,-1.608500783748199492e+00,1.190298823659745819e+00,6.591545763175071793e-01,-5.753167724191545762e-01
3.256233001012678319e-01,-1.646678869382786348e-01,-8.232831097099486684e-01,1.028964408593489255e+00,1.312406410929972234e+00,2.445668299748697538e-01,-1.834496859445485573e+00,2.605493086116816848e-02,-4.421682391303556336e-01,6.272833593684588038e-01
1.537205237285148296e-01,-1.082859126518598836e-01,2.331942785128609863e+00,1.314326844255718552e+00,1.299643194359335840e+00,-5.804968430892210041e-01,-7.151091827086373254e-01,1.263952162406607682e+00,1.534112648124125844e+00,-4.191379694664112421e-01
1.141357471709973925e-01,-1.402988373664371402e-01,2.122182645650235067e+00,6.482219985739821055e-01,1.738442050917599069e+00,2.615585144223406266e-01,1.482042689701048133e+00,-4.019372476877122735e-02,1.501428194298146002e+00,-5.240575850461552943e-01
