# p_0,p_1
7.508290240929172965e-01,8.934100827001415501e-01
5.095436705127853738e-01,5.941677553266546674e-01
2.672217252746078575e-01,1.450512022887903818e+00
1.446842047727209701e+00,4.877617145742358384e-01
9.563126797465353324e-01,1.077904223563965758e+00
5.859379218207518836e-01,1.057548824162154011e+00
3.640441750753706240e-01,6.450559072368718949e-01
5.370778985979410836e-01,1.144905650472654912e+00
3.921984814877334524e-01,3.545524640095709112e-01
1.015270348906726738e+00,5.559844882520676990e-01
8.246881603644932168e-01,1.062166019888492130e+00
5.224292807225526802e-01,1.261046910578774938e+00
4.436761156186467270e-01,2.160961228785095445e-01
7.735109324272194664e-01,1.201422196531780395e+00
1.915662905973660735e-01,4.164584791990821877e-02
9.217158579786949302e-01,6.678333142978605252e-01
8.128433905097178780e-01,6.721993435675581718e-01
6.052980204442288681e-01,6.237496862457310165e-01
9.038735714725097958e-01,1.028262070833536157e+00
3.735660525458384118e-02,4.927583944738782584e-01
4.529836563428665253e-01,1.257650824519259469e+00
5.533297592602205439e-01,1.851221634709731223e+00
5.270247727856286479e-01,1.148986621713805611e-01
3.177991313323106914e-01,1.007182684959188057e-01
9.542132024019996939e-01,1.241473698032757866e-02
1.026144596364993777e+00,9.277297568991742516e-01
6.430692353436093800e-01,6.300436616124965861e-01
1.746699099065807337e+00,1.050748988463365396e+00
5.125280531014604346e-01,3.777210157876922936e-01
2.795532078520597818e-01,4.971705186036672885e-01
8.945280692234905962e-01,1.143786101509656872e+00
1.096757606279525898e+00,1.233526396530838731e+00
7.801566686827832164e-01,1.297035922904892002e+00
1.600515996641425298e+00,6.330670559864370883e-02
9.070331261607222917e-01,3.462883370620755130e-01
6.991661431905925594e-01,1.587155181175089247e+00
1.294572262378151928e-01,5.338707093053631780e-01
1.734172797282210743e-01,4.764161547278430997e-01
3.821449773862701238e-01,1.321452694731272803e+00
1.345064577500426628e+00,1.997170225480915384e-02
7.397563316938022826e-01,4.989066736270519886e-01
1.126027436054910735e+00,5.031229405353419004e-01
1.157532723812231712e+00,2.968662446562602142e-01
1.003721814424466841e+00,1.009382516165610477e+00
3.652501525041182973e-01,3.514241783100071626e-01
8.101919836148210319e-01,6.246357698345021969e-01
9.880616980737328969e-01,9.788651324597161807e-01
1.477388576177304014e+00,6.379690694801998241e-02
8.504016381188687079e-01,2.645999722383433062e-01
1.071396566395355299e+00,2.476510918526928506e-01
8.917860508925250507e-01,1.622037955523005781e-01
8.076631169045797032e-01,3.792674964351451794e-01
1.061714044218818653e+00,1.884455253236293037e+00
4.868384378189823947e-01,1.191128581306872380e+00
2.913870145337218998e-01,5.188558411235395518e-01
7.736252959329001921e-01,9.526392336483204826e-01
1.217828278852361112e+00,1.400965139676436433e+00
6.047236486360583196e-01,9.013298062192240945e-01
1.156551916154905824e+00,3.247621523098636609e-01
4.690897519736840771e-01,1.716488532617751694e+00
4.842558084284767084e-01,2.329248300522743786e-01
1.141628525478860512e+00,1.031101356511251899e+00
4.424935601918261185e-01,4.256474525559251765e-01
6.113678589699426125e-01,1.764548409309000254e+00
7.170977440237469303e-02,1.368346049324177693e+00
6.571102434747745358e-01,1.085207206247474021e+00
7.195099254751159412e-01,6.988282781125765286e-02
1.664811170646457228e+00,1.166538286048407258e+00
7.085948554532149890e-01,8.079845163091925464e-01
7.445814475524081821e-02,7.382147708744422054e-01
9.744888592505830394e-01,1.535572674558926654e+00
7.767582874463230258e-01,1.150042912335256684e+00
4.853736436661291176e-01,8.591419904154021792e-01
6.253523586879259355e-01,1.137822558630577241e+00
5.413266972798758125e-01,1.466640872263491602e+00
