# d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9
9.000000000000000222e-01,9.000000000000000222e-01,8.235760333189705573e-01,3.513486105780562752e-01,1.119282143406962637e+00,1.505191086384065624e-01,1.739343758263581119e+00,8.959186078657373209e-02,2.781596045683092377e+00,9.695518503670784438e-02
9.000000000000000222e-01,9.000000000000000222e-01,6.000889036264028809e-01,9.833415855840735853e-01,3.984148396347965138e-01,9.206687049557608082e-01,2.856966675130661604e-01,7.845523232740999608e-01,2.278591619067976970e-01,6.356594056410312943e-01
9.000000000000000222e-01,9.000000000000000222e-01,9.672774604767246931e-01,2.710392290829066742e-01,1.490959808883927318e+00,8.728650183388947381e-02,2.552763566128777750e+00,3.331101096297226644e-02,4.508600504340409820e+00,1.754645556403141779e-02
9.000000000000000222e-01,9.000000000000000222e-01,5.829871429372506242e-01,9.711986164028688640e-01,3.645638416951946792e-01,9.541433004268693452e-01,2.434309968176835426e-01,8.849381666128744994e-01,1.822851115738874928e-01,7.961147467122648980e-01
9.000000000000000222e-01,9.000000000000000222e-01,1.114087804611098687e+00,3.556111106240721353e-01,1.837168652383194267e+00,1.578137517551811142e-01,3.353105653199230041e+00,9.205312286720969406e-02,6.282185566893048190e+00,9.260160142663681482e-02
9.000000000000000222e-01,9.000000000000000222e-01,4.843460274676332777e-01,1.234786318388056969e+00,2.478091927865218869e-01,1.031025616171308945e+00,1.741457890756874516e-01,7.000684555259510944e-01,1.672639994943035391e-01,4.514954673177539735e-01
9.000000000000000222e-01,9.000000000000000222e-01,6.895814553837474881e-01,1.135439827540841495e+00,4.948254093609436577e-01,1.123770256891992725e+00,3.788158124524912962e-01,9.305114533031283441e-01,3.281808124318572606e-01,7.022826709760658925e-01
9.000000000000000222e-01,9.000000000000000222e-01,5.903346242313672887e-01,6.149875630251349090e-01,5.348213491921447460e-01,3.544328946824486515e-01,6.055148438256404697e-01,2.070125533490214387e-01,7.700119991928144891e-01,1.364903475269663158e-01
9.000000000000000222e-01,9.000000000000000222e-01,6.992162598305495802e-01,8.853306862070541294e-01,5.530406432877380540e-01,8.449043978491980189e-01,4.510917958104174175e-01,7.891086568975300697e-01,3.820798833743710432e-01,7.261436621666900182e-01
9.000000000000000222e-01,9.000000000000000222e-01,3.589702164182216881e-01,4.907513789671385518e-01,2.437415374880891605e-01,2.042586116548673614e-01,2.188718039708427432e-01,8.010508337261863787e-02,2.205085307394370753e-01,3.112638916867646946e-02
9.000000000000000222e-01,9.000000000000000222e-01,7.776744458279030159e-01,6.805809474551559601e-01,9.067058657933125820e-01,5.187788604262678627e-01,1.229783695673980271e+00,4.822971410052391272e-01,1.567991331328276505e+00,6.101041258158729219e-01
9.000000000000000222e-01,9.000000000000000222e-01,4.342982367118482512e-01,6.259808252788252592e-01,3.189836159045104647e-01,3.346649542158670054e-01,3.168523742113941166e-01,1.700918066473942059e-01,3.686557590172870880e-01,8.885188096461486829e-02
9.000000000000000222e-01,9.000000000000000222e-01,6.062418119559462859e-01,8.096033934029249757e-01,4.725352598934877135e-01,6.708042503104982845e-01,4.352651261775394853e-01,5.381376981856185182e-01,4.636579979552202246e-01,4.311759399789719116e-01
9.000000000000000222e-01,9.000000000000000222e-01,4.072732142193703497e-01,9.245163089908893239e-01,1.957617090145874206e-01,8.029196072618755009e-01,1.083681859435710326e-01,6.503440576252779159e-01,6.938213983736241097e-02,5.113668086397410439e-01
9.000000000000000222e-01,9.000000000000000222e-01,4.352818614078922677e-01,9.483906227954602697e-01,2.580445887596248822e-01,6.353885606284709331e-01,2.160855580628847361e-01,3.693310983568610095e-01,2.295624407816356793e-01,2.112667570687275787e-01
9.000000000000000222e-01,9.000000000000000222e-01,3.786612642144773222e-01,1.299453666495454573e+00,1.426094137985526034e-01,1.204317758056528742e+00,6.346729615842583438e-02,9.430394598382646487e-01,3.496585031267736288e-02,6.973083041178391728e-01
9.000000000000000222e-01,9.000000000000000222e-01,7.096274585824212666e-01,2.357024595493374619e+00,2.503934076827752375e-01,3.165602801517297671e+00,8.922452828014053317e-02,2.550813827288892721e+00,4.953169023034270646e-02,1.780251046115870484e+00
9.000000000000000222e-01,9.000000000000000222e-01,5.895861923943702676e-01,1.015805489270141360e+00,3.964314124121120497e-01,8.783858237267659907e-01,3.337700821167925991e-01,6.703639279030402243e-01,3.541305200657265950e-01,5.020780202206938103e-01
9.000000000000000222e-01,9.000000000000000222e-01,8.532799275080830137e-01,6.357522706558322856e-01,1.031417514336553598e+00,4.736434882738188024e-01,1.395863406589088918e+00,4.341353656340141143e-01,1.824687379087947647e+00,5.452038774779300878e-01
9.000000000000000222e-01,9.000000000000000222e-01,8.984522774338501439e-01,9.271566721699887603e-01,8.759500181440058597e-01,9.417315429492731926e-01,8.522152540277794230e-01,9.309716028872334626e-01,8.466307250937052942e-01,9.048223013699308037e-01
