# d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9
8.607236492912322401e-01,5.163039778735218910e-01,5.287220311169857911e-01,2.136868928253272681e-01,4.697062665374279189e-01,2.730454181204127195e-01,7.019893172318794061e-01,-4.209738152936892686e-02,8.895789662550335208e-01,-9.203241862244027072e-03
1.060056537254547848e+00,1.113131197368927516e+00,7.549326389833290740e-01,7.830264414868680634e-01,5.432759614904080214e-01,6.472557558166296410e-01,5.455230430236820416e-01,6.451121775029025063e-01,5.063458504924084336e-01,4.558303171148628818e-01
9.288181155325444527e-01,3.574745555795237895e-01,1.043954885270197641e+00,9.730318094058864054e-01,9.586067086174300256e-01,1.086638247485115505e+00,1.055974725195118147e+00,1.102658691427387039e+00,1.021577631271493258e+00,1.288177372571906121e+00
5.639675765553011644e-01,9.345702334818859480e-01,7.860979140922845776e-01,5.557808698316093476e-01,1.834017402340808900e+00,4.684082245012768930e-01,2.297732879454811084e+00,5.221778088840658416e-01,3.133307650761485874e+00,6.762426081026344793e-01
9.142801012319745624e-01,7.789651934390424692e-01,4.513834087001944440e-01,8.099592073559160887e-01,2.353745280344653190e-01,7.204413568745001717e-01,1.584415050428030214e-01,5.379582667790527850e-01,1.110774630244961148e-01,-4.192749665117623259e-02
9.953203005342072807e-01,8.514449726425346032e-01,4.226598824880301031e-01,1.289407715520553555e-01,2.317389479903196325e-01,1.758302368498627921e-01,2.485380040671958390e-01,5.092467394113648904e-01,2.262251620299410293e-01,2.766834790807188860e-01
4.929753172306826636e-01,1.044988996524205627e+00,1.067626362572969390e+00,6.969481105741061056e-01,7.685387534171802537e-01,4.123626440442156316e-01,7.128506022502300032e-01,3.266834351284283455e-01,3.657010892906952249e-01,2.252409370454452331e-01
1.304339215822855946e+00,7.400725814564002025e-01,8.529552938991292743e-01,3.359017308884975073e-01,3.678037810794371198e-01,5.146439436879401974e-01,7.543760578026228458e-01,5.694979224857670275e-01,9.964956564747917689e-01,6.251446802981699413e-01
8.657944728947345459e-01,1.176401700745258294e+00,7.859853848891015238e-01,4.028062757087414458e-01,1.009628867181377565e+00,6.760863379413786234e-01,1.181742634857514629e+00,7.491339862159942520e-01,1.546471727450827949e+00,8.226389137736703772e-01
9.002680913043871191e-01,8.515309336375262994e-01,5.250778142665567527e-01,7.191963562399735777e-01,3.250551774468248278e-01,8.458124532698432230e-01,2.627342207767597859e-01,5.106600512753860510e-01,2.521969254547682948e-01,3.037692140788059714e-01
8.188649402281653611e-01,8.680169335734445601e-01,4.069529849414381673e-01,7.967978018363841564e-01,4.295277697963363339e-01,2.639998602339861389e-01,2.416666578651385788e-01,1.352024910652928902e-01,1.657400474807962099e-01,1.154581381277759861e-01
7.640262344157049412e-01,1.035129500236550815e+00,3.716253032174154924e-01,8.872607470316594691e-01,4.487670017161965452e-01,7.018768224607901951e-01,2.151996538878388765e-01,4.980604542450910999e-01,1.617032751106908528e-01,3.349770559480647614e-01
1.007866761312468995e+00,1.144028089694393735e+00,6.985346821064410960e-01,8.511419855221655784e-01,8.574587938889943750e-01,4.106569576317801173e-01,5.744997620414242778e-01,4.980652597754294253e-01,8.520357495412491655e-01,5.229668496840172986e-01
9.887631140325682244e-01,1.117222166225074531e+00,5.074833332446344603e-01,3.148663164019593341e-01,5.629312028918803668e-01,9.273730950204152057e-01,3.329445871818770275e-01,3.226580807790602745e-01,5.396229072082234790e-01,-5.367724670688753807e-01
4.586455024471257635e-01,8.983613337693981959e-01,7.585177798707719576e-01,3.185395637621356579e-01,7.721512339607499165e-01,1.150451454061393042e-01,1.228421985056192822e+00,-2.171680644504588309e-01,1.134329127029936712e+00,-7.544874920497710025e-02
1.033827841051643048e+00,8.086567430749729279e-01,4.396113840442761322e-01,1.016779548253187393e+00,2.131369800942184423e-01,6.778224028733138562e-01,-6.574112093510450783e-02,3.938704276794614545e-01,6.837552555389633802e-03,3.767327261234276747e-01
8.817901388805751139e-01,9.857776639180599876e-01,5.291099487538228896e-01,2.299165326702288237e-01,5.646233975068771782e-01,1.761249034052467244e-01,5.431884354889884303e-01,2.003232477604675876e-02,5.864459016465696228e-01,1.233484754667028283e-01
9.479419513525233487e-01,8.065443347727672130e-01,1.033752395119532430e+00,3.794623409163183636e-02,1.282666910980901465e+00,-2.716550789315818060e-01,9.295268514564742901e-01,-4.707076383703884259e-02,8.955587633332269260e-01,-1.616009755354367305e-01
8.796817893824403489e-01,1.101523433225994664e+00,3.076873040836627382e-01,8.078970416337507565e-01,3.413189782882777301e-01,4.146665672453664353e-01,4.360445553689049625e-01,5.298494653222400874e-01,8.924018793218849721e-01,-4.762173273540303009e-02
1.018150510648119011e+00,9.158954743242634366e-01,5.747634955393909895e-01,6.142305450657745691e-01,6.317040447487336507e-01,2.221503715327414752e-01,7.756852016324091714e-01,1.054351613578450308e-01,1.075180343354052992e+00,6.595269545777233955e-02
8.120376853271479289e-01,8.466162594935623398e-01,6.523478701355220899e-01,5.921718119106529343e-01,5.332020973618679660e-01,3.256403977900984015e-01,8.668522557060747147e-01,1.577111598104578016e-01,8.210826140825339126e-01,5.766004911470520855e-02
8.865020187958426723e-01,9.508874744356169417e-01,6.320393807732419544e-01,4.629492926711742395e-01,4.593538792928474890e-01,2.042208050058330893e-01,3.811101024939882453e-01,6.099666851692221725e-02,4.036058740076086115e-01,7.816073991920871600e-02
1.301387229718956595e+00,1.098555097356343824e+00,8.654290486489391032e-01,1.344516029771420651e-01,2.030560248555224323e-01,1.914141446692450843e-01,6.008622401433212357e-01,3.217143411094470218e-01,1.082473415253416338e+00,1.568382806884538738e-01
