# p_0,p_1,p_2,p_3
6.579288792649055084e-01,1.329555483825442641e+00,1.239529561245432898e+00,1.338840420114432828e+00
4.736442354057099902e-01,1.420651028364203761e+00,1.399100927100219272e+00,1.590108275095512003e+00
3.098156816299525995e-01,2.659183410822243410e-01,1.150074636547046225e+00,1.289566935528608571e+00
1.222794034581418998e+00,1.422820171464507899e+00,9.638750825083353124e-01,4.938598939860370240e-01
3.001355973636902208e-01,1.315244689094364761e+00,9.290827550582504424e-01,1.340216801967935245e+00
3.425897405766162307e-01,1.738390209847726187e+00,1.231599305594257343e+00,1.295860391582038140e+00
2.697702624374155311e-01,1.003287194028539275e+00,1.291822315634727047e+00,1.103618781624332357e+00
6.967583856539234510e-01,1.156156503689418802e+00,9.118100644119444542e-01,8.444612473119931240e-01
8.586829976786307661e-01,1.233466427060954329e+00,1.710312209036273234e+00,1.628995868022586446e+00
5.929564600021099974e-01,1.505820227512034704e+00,9.267768706990958671e-01,1.424531152015674040e+00
1.319842285391041314e-01,1.548805573933787150e+00,1.381829803746589702e+00,1.894605743225256322e+00
3.257827683223701865e-01,1.579763820082218384e+00,5.000904253529190324e-01,4.988822991110707372e-01
4.394894356404565050e-01,1.158659787809656727e+00,8.154053512541715731e-01,6.716674685372396869e-01
1.380510345780380232e-01,1.328678121172697901e+00,1.694204934186062328e+00,4.335983882259474287e-01
2.416923050004584350e-01,7.684417105571714757e-01,1.874124342151245237e+00,5.157616399917894778e-01
6.206518374174737618e-01,2.213039830595104007e+00,6.931420412949902410e-01,1.094934269471264265e+00
3.291137033942163614e-01,1.429897872526804781e+00,1.616189375675032514e+00,1.284642327561030140e+00
5.430448638044611531e-01,1.194554508977343943e+00,1.742541408450939855e+00,1.070776682470391483e+00
9.278604558619375497e-01,2.444310362627485134e+00,1.756121027388600764e+00,1.889922075409356861e+00
5.818648305195924797e-01,1.699430186666947895e+00,1.453253337890046293e+00,9.572478110774689242e-01
4.182306333960100764e-01,1.356074619407937387e+00,1.763881364051291367e+00,1.867023228449168348e+00
1.985833990315354902e-01,1.427566108912766696e+00,1.752903669026444344e+00,1.132930865657235220e+00
2.780153115383748319e-01,7.325374556900983158e-01,1.648925647945677087e+00,3.358960946287922189e-01
4.614104800223510772e-01,1.199811413312129593e+00,1.354303823564277698e+00,6.374418227704927720e-01
9.316415076730709677e-01,3.301464797065321033e-01,3.399930809807597543e-01,1.697643769276052872e+00
2.782546323568446112e-01,1.288000653802291007e+00,6.672519408241976979e-01,1.289104432793248600e+00
6.846844602721171569e-01,7.339687582467788740e-01,8.503322403888017300e-01,1.065074887344736876e+00
1.041335262462856903e+00,1.455240843119358640e+00,3.243031381946850367e-01,9.429829083693650471e-01
1.692665823194434704e-01,1.813879982048291595e+00,1.821613986362657922e+00,6.888926011149287820e-01
4.425187996689251557e-01,8.966687880911072828e-01,1.036973724119788054e+00,2.096757300870274454e-01
5.248667013109153956e-01,7.666125628637782130e-01,1.716829399066234885e+00,3.389772589727991781e-01
1.608325855607944943e-01,8.702757330249277778e-01,7.591311283013089106e-01,3.920499975387015112e-01
7.088006581813858231e-01,1.910688799850745578e+00,1.652437615277430050e+00,6.285297464362520348e-01
5.981356439609802900e-01,2.146160902086619693e+00,4.449194515235779246e-01,1.264395657569080900e+00
7.742956450006619473e-01,1.616513968139471791e+00,4.938450292695995003e-01,1.306038361700659678e+00
1.663219177159891426e-02,4.050819302138619626e-02,2.157918928909642098e+00,1.639501458743110929e+00
7.206306861541496023e-01,1.798007847928897451e+00,1.202438726530885349e+00,1.904023368031384722e+00
3.099264971738628915e-01,1.439017213127251615e+00,1.811428486144283534e+00,8.918097183488629121e-01
2.612915996447501277e-02,1.412959238274174245e+00,1.074763114205704362e+00,1.322848470297175005e+00
5.591313634087400342e-01,1.132963256024371868e+00,6.162169332269860078e-01,6.045391379657549802e-01
3.613685117577603578e-01,1.485989367725413901e+00,7.572887658189475513e-01,1.344113939364829147e+00
6.403551449095645776e-01,1.874433572837736151e+00,1.596611552480984519e+00,1.776321173883964377e+00
9.242455880465079154e-01,1.114822551928341232e+00,9.389586120569688443e-01,7.066810652649140323e-01
5.425365486239979163e-01,9.864426453300896291e-01,1.107924770934716197e-01,1.139812903130777766e+00
9.825820428570114506e-02,6.737121652450173137e-01,1.165734218489348439e+00,1.737645690680817756e+00
9.673584193299610279e-01,1.696375558582081222e+00,1.018218958121261508e+00,1.625852412508752565e+00
1.384200601388297924e-01,1.698224809533773971e+00,1.594527677517908026e+00,1.406114623021419652e+00
9.102299580811429314e-01,8.192212830121938794e-01,8.322485660589914458e-01,2.106527430465484629e-01
4.575513789625718086e-01,2.049667844238145520e+00,2.755535403922785287e-01,5.427671002681977441e-01
7.390497700783760227e-02,1.546549734204291759e+00,4.902958771730816512e-01,6.699772573079996185e-01
4.542023089602632568e-01,1.471132910070975131e+00,1.896299497378425514e+00,7.173745004284419746e-01
6.981599325468738071e-01,9.182208758407772731e-01,5.810630565741365938e-01,1.483275046196183444e+00
1.360889987571531456e+00,9.180446334653329377e-01,1.455528498379244251e+00,9.162775844162909245e-01
5.940842258452608826e-01,1.769666273239686838e+00,1.348820027200151817e+00,4.386872096691284417e-01
5.520206814624335490e-01,1.174706184755832439e+00,1.754724174951539872e+00,1.320980671384663463e+00
1.070231065825457684e+00,1.460756924644817767e+00,1.112054569155737971e+00,9.142133826679843533e-01
5.985246887014425976e-01,7.749823599346868930e-01,1.472897886538669709e+00,1.228258421605710415e+00
7.775933696418222407e-01,1.974463137445997329e+00,7.136328110445682160e-01,1.524545666094056617e+00
1.249726422728797193e+00,1.068012448737530429e+00,2.551853790024471991e-01,1.988999808765497868e+00
7.537240669051912256e-01,1.924011337356685836e+00,9.983603859432707006e-01,6.627276393715335612e-01
8.809550226555609154e-01,1.731499966318219563e+00,9.275199959935425120e-01,1.096373719218043163e+00
2.183489177550689275e-01,1.514599672809458841e+00,1.546684400596635811e+00,8.914161768160231425e-01
6.312300626360514144e-01,1.035954819886450329e+00,1.501437635379470059e+00,9.351305436944710170e-01
3.730052862205116559e-01,1.941003444503987208e+00,6.911294160447392088e-01,1.055467075309168834e+00
1.442326453283675480e+00,1.208859028054351858e+00,5.952552321891975140e-01,7.698709710523674588e-01
2.847356293359726287e-02,1.814213103406718819e+00,2.002797351719654895e+00,6.557476120014567034e-01
9.769518566247213931e-01,1.160349225675679996e+00,4.068229405623220440e-01,4.340583123525372233e-01
1.423269521339001198e-01,1.212695470819917798e+00,4.301114310411126018e-01,1.031521232678799915e+00
1.923697676711548232e-01,1.050582621764144520e+00,1.108947182671460086e+00,5.983495890436258957e-01
7.960340618208338048e-01,1.002278081795341835e+00,7.590588881216173700e-01,1.729849172156833426e+00
3.021186508280351291e-01,1.363289214283637474e+00,8.459711182768883120e-01,1.470885702957364094e+00
2.484183035232237491e-01,1.328072876482895959e+00,1.288470730230542038e+00,1.476917923488813678e+00
1.276898605176204349e-01,2.314262379011300386e-01,8.336991682639711687e-01,2.446064182064850989e-01
1.467070446257061067e-01,1.079455374338068818e+00,5.789206021006233494e-01,2.116900322047211569e-01
9.840160866806932916e-01,5.517080018715049272e-01,6.309324424078348592e-01,8.214898812623955271e-01
4.640756133104396164e-01,1.800749916587346844e+00,1.433062480697293140e+00,4.412830278454834554e-01
1.042247810486941928e+00,1.852095204045014931e+00,2.640536644066163730e-01,1.036092239189178255e+00
1.762753992973091766e-01,1.005328083314146692e+00,1.145694501963381962e+00,1.666738384129653694e+00
1.246248966215154130e+00,8.940644347976554052e-01,1.637921225437251938e+00,8.768050235346246390e-01
2.502907287907608080e-01,9.976208997390711986e-01,1.025444986710985384e+00,5.631444512434659044e-01
1.542447108222036734e-01,2.001854236601433357e+00,1.596617686648117873e+00,9.842976717343846493e-01
2.627228907101811228e-01,8.262848030629350582e-01,4.590177947680020853e-01,9.248002596434414802e-01
6.835527339642799571e-01,1.276550832747065822e+00,4.213147606815569324e-01,1.947796377532790446e+00
1.216526501267377380e+00,2.073597872411562015e+00,7.334600154462083133e-01,6.865130309868887615e-01
4.988006472440557060e-01,1.041022434924032236e+00,1.012880399646584717e+00,1.668993092195462769e+00
5.229409528022939124e-01,1.438207503674167498e+00,1.219391314514173930e+00,5.575625290879659968e-01
1.158731132597906832e+00,1.932433573983972641e+00,1.852123519072694124e+00,5.157313650618282619e-01
6.552606772956446335e-01,1.399534447539457549e+00,1.548624064094924035e+00,1.597933718515478718e+00
9.318197668099814646e-02,1.623620099955928264e+00,1.385968393250017971e+00,1.302709302448050721e+00
2.130691201024110526e-01,4.788385272084525468e-01,3.390033727762219451e-01,1.173192155279022764e+00
7.865126612525806804e-01,9.397625993092201258e-01,1.519621795474410231e+00,1.405552838450166320e+00
5.895511356576280670e-01,1.332504165182562206e+00,6.645508872366547859e-01,1.432755984320386089e+00
5.780211441218645607e-01,2.419560590042693526e+00,1.013487772807956988e+00,1.440175655197387883e+00
1.365054057493850337e+00,7.519082490088441206e-01,5.865378529877124381e-01,1.425476863211860623e+00
1.518345245517155329e-01,1.230748196114191284e+00,1.828054422481724117e-01,1.105096499849927749e+00
7.723287250536967630e-01,7.426370004994569118e-01,6.967565061019562744e-01,3.800786952735651925e-01
4.836659198688492145e-01,5.632536636001909125e-01,2.621394542684324369e-01,7.552205186375401391e-01
1.312881817351829739e+00,1.478202912610548037e+00,5.312895936752870529e-01,1.372361156472210464e+00
1.334562533054134414e-01,1.617599406464996115e+00,1.228918743985560447e+00,9.092106703592981454e-01
4.970119888871080693e-01,1.875235930167640452e+00,1.176423986785768427e+00,2.665336615062081638e-01
4.327050367793641161e-01,1.816883879492606768e+00,3.798269332295240996e-01,4.422856675757820266e-01
3.414137260537989382e-01,1.729196871679303360e+00,9.437933564388740759e-01,1.213783758957543313e+00
4.753842949913258398e-01,9.844892339259783132e-01,1.329335715845826771e+00,1.744313230510117885e+00
1.892978334780517080e-01,9.707197876321163044e-01,7.054237921122343824e-01,4.543985810885147192e-01
4.374890823655065430e-01,2.465374364343088764e+00,6.378549041407979292e-01,6.106961711239666801e-01
1.498010415784600369e+00,1.806100277810568588e+00,8.922866035212536628e-01,1.100082980399401444e+00
3.372510322106611058e-01,1.817926150865852186e+00,1.405083726687585299e+00,4.788738417315329121e-01
6.663896536555095063e-01,8.619668496732002527e-01,9.217811675268182681e-01,1.292984909234250024e+00
5.150019210884764220e-01,7.456807965935242644e-01,1.480707180127465161e+00,9.222451037046960343e-01
3.338988512723344293e-01,1.641426310498486973e+00,9.547669722537397430e-01,1.199623069990821911e+00
1.095535545813517864e+00,1.706896695236483019e+00,1.300883254299910030e+00,8.214192454647684105e-01
1.795800579922874896e+00,1.843334099327266218e+00,9.664847523392409157e-01,1.295452188183594533e-01
1.690522210026201844e-02,9.267907400961055142e-01,1.702766598811775722e+00,9.397383193982323801e-01
5.998517543546425523e-01,1.459027734016877798e+00,1.231586520107458727e+00,1.180493023909488626e+00
4.532960104526924106e-01,1.522274344512245747e+00,6.102822688729506728e-01,8.039545036141897416e-01
1.629450467940383618e+00,1.354966869010480579e+00,7.502345810851274166e-01,1.056392102522987875e+00
4.520368614772354854e-01,8.079075409314204759e-01,1.230057444568560587e+00,9.783853943383744589e-01
8.767263238117437574e-01,1.175168855168619908e+00,9.148257660135118430e-01,1.422452626248599250e+00
1.041582969288469052e+00,2.906900417393727842e+00,1.404222297586187107e+00,1.527690931241157735e+00
3.735207491913753453e-01,1.075990996104681408e+00,1.382416226635276413e+00,9.288507401627761340e-01
5.078536097504356972e-01,1.184966719119286083e+00,9.834439687107126016e-01,5.973528289083359644e-01
3.452920929863445565e-01,2.762766545016710928e+00,1.257135769551176008e+00,1.325669234575074240e+00
5.595991315126184196e-01,3.860624316954966995e-01,1.387696344137845372e+00,1.462193906771195318e+00
1.023949639788605204e+00,2.174739170931730303e+00,9.681267069767727218e-01,9.813889629412398952e-01
9.200542541344233216e-01,3.813407288244695659e-01,6.310387374793312576e-01,6.918542409721154529e-01
9.569782981584882275e-01,1.216706181577654311e+00,1.371914823612078393e+00,6.470873876129699109e-01
8.764356027558989348e-02,1.741160671224438294e+00,2.671230499927439439e-01,8.795934809803904741e-01
1.720926788400164442e-01,1.509247873022852238e+00,3.767398116869085101e-01,8.834120483569587456e-01
7.032467238295736500e-01,5.815215580081896096e-01,7.569916018319836626e-01,9.936343064823248694e-01
1.395263445102516986e-01,1.254676014878259860e+00,4.723819726979411326e-01,7.284641787019713322e-01
7.886339499387757801e-01,6.737937209324612597e-01,8.850383927458780331e-01,1.198423221432651342e+00
6.171295474515436918e-01,1.402267626120403454e+00,2.391131113729019209e-01,1.196492621633558073e-01
8.634769338794348048e-01,1.153472249387506476e+00,1.221904096041690702e+00,1.581343180186105535e+00
5.221910391828690212e-01,1.724390096295465691e+00,8.444877141635680484e-01,6.226612733193672700e-01
6.714419217906665294e-01,6.879900098309407186e-01,1.741025197952106307e+00,1.421856666073717079e+00
7.345103924225775405e-01,1.075130057149683127e+00,8.258490221174574764e-01,4.692710522297047770e-01
9.330191172257695786e-03,4.876909826536268699e-01,1.617233281455763283e+00,1.344323886759920761e+00
1.192388673165076796e+00,1.564747423089589695e+00,3.677377046081431455e-01,5.601717051311894124e-02
4.760892429853155750e-01,9.278780415320275754e-01,4.048006973089592897e-01,1.349746022626105990e-01
