# p_0,p_1,p_2,p_3
1.370915929603649386e-01,1.737685080161758933e+00,1.005401423662096505e+00,1.330631085325875373e+00
1.106981462946183825e+00,2.098517851635078646e+00,1.004803204936563166e+00,1.276144784434711799e+00
6.327201604436339943e-01,1.241975443102758092e+00,9.853575220241752586e-01,8.684582435159426961e-01
5.944686941301794425e-01,1.189362368732927111e+00,1.453182187515288160e+00,6.792069209910938099e-01
9.207716176004963060e-01,1.407390334467626625e+00,1.274992830513188347e+00,9.387091444778495886e-01
7.606403060697277674e-01,1.614967351916012372e+00,1.702480147531585608e+00,8.813819079426631342e-01
4.733359452127403055e-01,1.543515598859055871e+00,1.952229714608217925e-01,1.962528783068747895e+00
8.137651586185093988e-01,1.943244027241107563e+00,4.133016434160795560e-01,5.170147208808050232e-01
8.818834621598778956e-01,1.888124770261724095e+00,8.946419881604408264e-01,1.619615558053004278e+00
7.032365223472432092e-01,1.874153877768911958e+00,1.290680274587572729e+00,1.712884576784970081e+00
4.362159915287889822e-01,9.141415088876749806e-01,1.276468637991565291e+00,4.479651172289887961e-01
1.745725628177136057e-02,1.758764592004653737e+00,4.224264834021752568e-01,1.072533912733997896e+00
1.856226184352682829e-02,1.638874693030604845e+00,1.061601771982034537e+00,1.408034818338170790e-01
2.421373334755437812e-01,1.872348257476434741e+00,2.180162654420104484e+00,6.840554621758991871e-01
4.566488499169119031e-01,1.540663468565169225e+00,8.453685576963467785e-01,4.939752119336343616e-01
1.083822743014796419e+00,1.371714284755497060e+00,1.795469210241851687e+00,9.843836121098286096e-01
1.620673871325244708e-01,1.292746073549185581e+00,1.680451825538418653e+00,2.316403332686536753e+00
2.490392067104903184e-01,1.777804774429278867e+00,1.304972364604001900e+00,1.477604429845334133e+00
6.348614874167146649e-01,1.839624704875142402e+00,6.243859357890763073e-01,9.733576095245720650e-01
1.082218390050310841e+00,1.071289360771436217e+00,9.240016301443469970e-01,4.456111962165593132e-01
4.268891850334100013e-02,9.618151779929722256e-01,5.139194318393056626e-01,8.628002736332260891e-01
1.349657275307670212e-01,1.200761894808681340e+00,7.537269278805681649e-01,1.126455884286355458e+00
2.499305604868627129e-01,5.296656695268973092e-01,1.773620370298352178e+00,2.759598164353089800e-01
3.246413862313591858e-01,1.764124602579160150e+00,9.320485091369866693e-01,5.889379158137975079e-02
5.253959066741646922e-01,2.080458321517710374e+00,8.101450118678246159e-01,6.161044110031499432e-01
8.914631014387347507e-01,1.332862711514755549e+00,9.646588967212372800e-01,2.066343402837942378e+00
6.790760807733914328e-01,1.024745788937156288e+00,8.491203168707159854e-01,8.793673907985625204e-01
3.814524030597382653e-01,1.500839626230735746e+00,7.207171984377960250e-01,1.858346189542070093e+00
9.935933906445811870e-01,1.595347355640279075e+00,1.614268642638054363e+00,9.253755055711607724e-01
1.092965730298178229e-01,1.486487840794630255e+00,1.711366001489954991e+00,1.543428238441387546e+00
8.147258270294164273e-01,2.230741472386687185e+00,1.069772372688313267e+00,1.620628971504588289e+00
1.692694931156080163e-02,1.646156281983698344e+00,6.635255209216543992e-01,1.072852547781864452e+00
4.460955302644853404e-02,1.513669476915309620e+00,1.266440043608374033e+00,4.885132388677765336e-01
1.026810084334851769e+00,2.411491510918040149e+00,1.149308895718214707e+00,1.106914629800178629e+00
4.703817838551864750e-01,1.141930616769155860e+00,3.835982324477351657e-01,1.288999327908721959e+00
1.041861985042969341e+00,1.323260588692033002e+00,9.060941406370530693e-01,1.344185925599653331e+00
3.253951762509732504e-01,1.514858997624862980e+00,1.607481012044942537e+00,9.633177618500347039e-01
1.740684890303895171e-02,1.486276332809675305e+00,1.581388237253709139e+00,1.161232108768807558e+00
5.255301848444920987e-02,1.064565591050306237e+00,1.355724567591414909e+00,1.254340021585531817e+00
1.163726587781741761e+00,1.384049946949337473e+00,1.794074485145278786e+00,1.034632195792834608e+00
8.425692932383371803e-02,1.934797011558601731e+00,5.882072740553534462e-01,1.389772258677311356e+00
7.307126637793445179e-01,9.483363285059668302e-01,9.910628291267987722e-01,2.147017317228345767e+00
6.415967633194747943e-01,9.088512761709383048e-01,1.507224928066314806e+00,1.200171175859403805e+00
3.376038401334339190e-01,9.396043542471843590e-01,1.697440631596089933e+00,1.393958589998754549e+00
3.074616394459477875e-01,6.355507866279854756e-01,1.097275790527584727e+00,3.081404421105001790e-01
8.695482944892973798e-03,1.623780583614083728e+00,2.656636969168180151e-01,3.827446888919994183e-01
4.688201450687700111e-01,1.047146335071480916e+00,1.436923590909961135e+00,7.020972510808118905e-01
1.839592484992552957e-01,1.956737980731265925e+00,9.503495817597429340e-01,9.356355071200029849e-01
6.035166462568094525e-01,3.573467684535157618e-01,1.028669768285666253e+00,1.345610078811459775e+00
3.625528991920971555e-01,2.146409258547876675e-01,1.619310524375960902e-01,1.280276490748122331e+00
4.691303795795821463e-01,1.747985917695149771e+00,4.009893303429931111e-01,1.465350199358813832e+00
1.478399135780741336e+00,2.073912136657491523e+00,1.998949973567190064e+00,1.429630615550336659e+00
7.162212087936672411e-01,1.686764939708091715e+00,1.083208539723724551e+00,1.517239741784152329e+00
1.257122181094802116e+00,6.353574127853770515e-01,7.319962906435797390e-01,1.339835147421996275e+00
7.770870173443382711e-01,1.259840895289977336e+00,1.203256802301116535e+00,5.840770293961667914e-01
1.883485000599021686e-01,1.228402776491602344e+00,5.639454167923665384e-01,9.121221469441281871e-01
1.158176169095561647e-01,1.797812091388418576e+00,9.044493746199757656e-01,1.444909766358680958e+00
1.067880287245628335e-01,1.141989961542974052e+00,1.638676135593201355e+00,1.159894806303289894e-01
3.886271096787385360e-01,1.271519424528098074e+00,1.856174758387918011e+00,6.932207590262917662e-01
3.016269632704778880e-01,1.163239403090017499e+00,1.610088841800694226e+00,1.021863498704525419e+00
6.009904271908113049e-01,1.277397656327251330e+00,1.586635091916969165e-01,7.114334773146260282e-01
4.133022244713957516e-03,1.230328967595954115e+00,5.143815950013279625e-01,1.153666823541235731e+00
2.614896959415938804e-01,7.985953237437537489e-01,7.848049059620340051e-01,1.154757340927748288e+00
4.423768929797271543e-01,1.720183292195502922e+00,1.135399385979409814e+00,2.582807166267093724e-01
1.400055293053094618e-01,1.183087411156762636e+00,1.030402479564756613e+00,5.193225245179878824e-01
3.741423975102418087e-01,5.771568066232427574e-01,1.617190872284732572e+00,9.094115507623383721e-01
4.234949322263102389e-01,8.945533373233436336e-01,1.510044430909256219e+00,8.632041096817015813e-01
6.792480260573940942e-01,1.565866584528695871e+00,6.859503810889666653e-02,3.127991528670737154e-02
5.453881881580513458e-02,2.003810478390836813e+00,3.604040561240234863e-01,9.389502523436367154e-01
7.586607226872357224e-01,2.015916496845526318e+00,6.306573560041556226e-01,9.355423178263436723e-01
1.948075206090938982e-01,1.880364962666372097e+00,4.225035641372424378e-01,1.758346654586330882e+00
5.641834886905607860e-01,9.342758741622114727e-01,2.046879115940181126e-01,3.767568272887169556e-01
1.396104256046232894e+00,1.878207624074686777e+00,8.839008690037976068e-01,8.176129286406682573e-01
5.958553077040955603e-01,1.100532048413716213e+00,1.408616272402503977e+00,1.151640838199099459e+00
2.725361559852363946e-01,1.374686429764124362e+00,1.721635242986289782e+00,5.017004601314556389e-01
3.290058422198515187e-01,1.386888945777177362e+00,1.419789697073294832e+00,2.078740061390771388e-02
6.954735604034395502e-02,1.110983270859478900e+00,4.427729971886078530e-01,3.565995175607508116e-01
1.686762229816629599e-02,1.471146682940920769e+00,1.926710981906716080e+00,1.015888562587049959e+00
