# p_0,p_1,p_2
2.527128178412025417e+00,3.904584534549953023e+00,6.811518630231394589e-01
2.559978727207397942e+00,4.087940094042084027e+00,1.252716511132750288e+00
1.946427470805008442e+00,4.015786941638312513e+00,9.061925675745711173e-01
2.246418911216137460e+00,3.797068323343289808e+00,1.316610836293339748e+00
2.624772883259549605e+00,3.492503686201164914e+00,7.663737403557225880e-01
2.770876308121025922e+00,3.332435513854806963e+00,1.013812341134698869e+00
1.338198648283183356e+00,4.594216151312597418e+00,1.292792742754859558e+00
1.880724308297137659e+00,3.783919139227635231e+00,3.860374600451580429e-01
1.678856153014708141e+00,4.731657905677721487e+00,1.078112838795467043e+00
1.711342614864723055e+00,3.826484595795478061e+00,6.444718581868105201e-01
2.178509663540563412e+00,5.108246887059340047e+00,5.604387563181904008e-01
1.116311969127718795e+00,4.483708378358104873e+00,1.543049836601134928e+00
2.422413440342217505e+00,5.215390061817495315e+00,1.042331786365723323e+00
3.879017303302069841e+00,4.322015449950503019e+00,1.227261028687552269e+00
1.723827475920766128e+00,5.728168398915250314e+00,9.496582644846585097e-01
2.069704435960162847e+00,4.060549307729414359e+00,8.104993090068909334e-01
2.239135146050468705e+00,3.754478227187653339e+00,5.941930745059023078e-01
3.006866907762652197e+00,3.898886416738078342e+00,9.429931926469115044e-01
2.827994584749226270e+00,4.572656038906925957e+00,1.004278996947136626e+00
1.395513179596802766e+00,3.511317885828588725e+00,4.039156451336012310e-01
2.170428377763141459e+00,4.210934748949727968e+00,1.269047893240566438e+00
1.901472297802842659e+00,3.361051516161385422e+00,1.017699373625333470e+00
2.615165613906053732e+00,4.932547465270895160e+00,6.535963129180263342e-01
2.173897334348293686e+00,3.524965585743679242e+00,1.513732833651060261e+00
2.349231247852794358e+00,4.626396187220912282e+00,7.255714229990632980e-01
2.257534394261358823e+00,3.088957396287865365e+00,1.401010768787011695e+00
2.143767898732976906e+00,4.488264709757325832e+00,2.481594503522557282e-01
1.220264626592635349e+00,4.235130105827105140e+00,3.473136438543410476e-01
1.836725755080011790e+00,4.897094707898990151e+00,7.363312603103266962e-01
1.500446150186583338e+00,4.290241193728686397e+00,1.237020891648690890e+00
1.241029733147605896e+00,3.802733653292511118e+00,1.596751864430454138e+00
2.538343126096394897e+00,4.552319667334772113e+00,4.525088046373014761e-01
1.607457817915713072e+00,4.529787359869588137e+00,1.595574549680807586e+00
1.867935363012089622e+00,3.330161831287938412e+00,8.151128718107180093e-01
2.559229350475929365e+00,3.859719374523004731e+00,1.315360702025653694e+00
1.356431047518489308e+00,4.838540184681371592e+00,8.389404520382712782e-01
2.460535322115409151e+00,4.392091109872119148e+00,1.037153666230676174e+00
2.127100878448378918e+00,5.018299623217660432e+00,9.579743650805401245e-01
9.416892599180737289e-01,3.470413922816895980e+00,1.140596397540456941e+00
2.145554268814589882e+00,4.315874124560738601e+00,1.453509899501903568e-01
1.005084852675378393e+00,4.402738785394540777e+00,1.404429644866125315e+00
1.980868509474225103e+00,3.617134740505572488e+00,1.087091129565552761e+00
1.989905622096466375e+00,4.014431449161972587e+00,6.596543845291642505e-01
1.937707743617263834e+00,4.805498947339866156e+00,9.497655758507911328e-01
1.581770068175440747e+00,4.629726002501798554e+00,9.705795443254346955e-01
2.045387029386262157e+00,3.062890212345382057e+00,1.738402209436792134e+00
1.442575106882705072e+00,3.982837941572515028e+00,8.849257498613527506e-01
1.482180324751496636e+00,3.418578535234347182e+00,1.258177558438845489e+00
1.267901120940517323e+00,3.753869486280311474e+00,1.888872174852707531e+00
2.445023026944369793e+00,4.602568555736618272e+00,1.762314971523576190e+00
2.197163440556799685e+00,3.866553983352724710e+00,8.376544032710790955e-01
2.437941957263735748e+00,3.914186360941072529e+00,1.586230381124139832e+00
2.275913195825276958e+00,3.995859716522491389e+00,8.537654985788465378e-01
3.149320621345893301e+00,3.986207489691908634e+00,1.022880640644296291e+00
2.415779946536205980e+00,4.174810694504783370e+00,9.953360856541770829e-01
1.906268136133389746e+00,3.069252023847209632e+00,3.578078599764268342e-01
2.420140470280871092e+00,3.977628483273065285e+00,5.373728540963378375e-01
2.958864824447352326e+00,3.752138382157423901e+00,2.972016937114621005e-01
1.639242506503030938e+00,4.110543762613712460e+00,1.946917537191737990e+00
2.499388211733104104e+00,3.773345084133710614e+00,1.310129679639979727e+00
2.426033828311346507e+00,3.768663764927799864e+00,7.775298763761655518e-01
2.171139748141910797e+00,3.859498051674943753e+00,1.778883120613286462e+00
2.348139339751648791e+00,5.463633035380588865e+00,1.587499409555904961e+00
1.758309418480353159e+00,4.272756026695414988e+00,7.085315676231549453e-01
1.895560120039583296e+00,3.623731338350859588e+00,1.606878848902944412e+00
1.603795898271620501e+00,3.492003479377051356e+00,1.713809586842144128e+00
2.566402024386364111e+00,4.283471740616831447e+00,3.397066152905251490e-01
2.335524413707459779e+00,4.093230973660762828e+00,1.113459191087837752e+00
1.689564245788642616e+00,4.336523145378952115e+00,8.610502412460538935e-01
1.705764756405501847e+00,3.634360255889910185e+00,1.075698242023582996e+00
2.642395754106202865e+00,3.286092262221003146e+00,1.046297238870830704e+00
2.818819882018051892e+00,3.624664539890012804e+00,1.240992172640830837e+00
2.439272973428902702e+00,3.813528881713315499e+00,1.290505732362102087e+00
1.222905118567201743e+00,3.647395534595593514e+00,1.257241811804920228e+00
1.136183490340195057e+00,3.812266408301129950e+00,1.425010771128835119e+00
2.304829940955110068e+00,3.811159351744827894e+00,1.855011879284526044e+00
2.332231214547086040e+00,4.140390927886933525e+00,6.910773337852438303e-01
2.081303292392320259e+00,3.884707579632711294e+00,9.327690334095216640e-01
1.280167528268672417e+00,4.585469876472757278e+00,8.297524903058464130e-01
2.481417143238897616e+00,4.270391433704378237e+00,1.221316458899198709e+00
2.769637383584546697e+00,3.078225901821829424e+00,1.393048213491513421e-01
2.080659762834765392e+00,3.532593881453919948e+00,5.839150325884066017e-01
1.937034339365261593e+00,4.751189650357842353e+00,7.342814482849961966e-01
1.972206019141054867e+00,4.026608669856898359e+00,1.055416248226805909e+00
1.446267260062334081e+00,3.064833053830255949e+00,1.187727486281500378e+00
2.198261643127305653e+00,5.359439035233944715e+00,2.065793394630953461e+00
2.018808248514913029e+00,4.076803927475242340e+00,9.800284766998008656e-01
1.586836299372395898e+00,3.571593189331833340e+00,1.055220543478359030e+00
2.989256653019014998e+00,2.687729606645912206e+00,4.875940342408724426e-02
1.834477786067652882e+00,3.992868456130120425e+00,9.117844442103852920e-01
2.612655550652282610e+00,3.302776370067240119e+00,1.681347156275586618e+00
2.603510889387417038e+00,4.209814878227615687e+00,1.559667363611169311e+00
1.587169398526769415e+00,3.445642299336117986e+00,1.136282673244913388e+00
2.244314892267510242e+00,3.036020070993724840e+00,1.094148757616413725e+00
1.361393478953443648e+00,3.846440495064522569e+00,9.752106093971588674e-01
1.871386638840444094e+00,3.490558217544034836e+00,8.810235576213885089e-01
7.253998710110376447e-01,3.628254583064090433e+00,1.132114507557652194e-01
2.114871448334576520e+00,5.827471139005013789e+00,8.600823944476887473e-01
2.491655753313473998e+00,4.118632395125853662e+00,2.073648545114841202e-01
2.484579484885427902e+00,4.177925437239021100e+00,7.113649549670539862e-01
1.632834029551802235e+00,4.008396817588732119e+00,1.502062327399388053e+00
2.189670305916365578e+00,3.838133192273754268e+00,4.363419481716827031e-01
1.826065252308324061e+00,3.328645540990116558e+00,1.680823307815511702e+00
2.334626976333529669e+00,3.578152758662986432e+00,1.962714325585371400e+00
1.935417967984214949e+00,4.823814727624393228e+00,1.186708058266866095e+00
2.027139590674673642e+00,4.541109652392323781e+00,1.235272356925748216e+00
2.702986441816622509e+00,3.933759729800505145e+00,6.156944265915724745e-01
1.651552391177003587e+00,3.939432605000470655e+00,9.789802582398258179e-01
1.667271464291271155e+00,4.052056432864397983e+00,9.915723779759002543e-01
2.354256560879875781e+00,3.957069171498557747e+00,4.950119371282393210e-01
1.591149208817836946e+00,4.001719264948458310e+00,1.264623160519360079e+00
2.931749620853818517e+00,3.744610366572670213e+00,8.121563339209043608e-01
1.559666416573149750e+00,4.553470530728392696e+00,1.408463045128647284e+00
1.920120492126125011e+00,3.248966709529882202e+00,5.535319843440095200e-01
2.300906924081719485e+00,4.034450592173103978e+00,7.083067859410345779e-01
2.432654780606267497e+00,3.998364563647232028e+00,8.473184336008026118e-01
1.307180406052293575e+00,4.151263594913913835e+00,1.277905392863211809e+00
1.740168878374831696e+00,3.613716229765741694e+00,6.012759948640582497e-01
1.984053198917170802e+00,4.218879509510277792e+00,3.602462360185294532e-01
2.221664344245321221e+00,3.542174482761677456e+00,1.624241077720499860e+00
1.570891516602281213e+00,3.716475575488296546e+00,3.154239896061863391e-01
2.638247734676022471e+00,3.910586983790213633e+00,8.256016501356542303e-01
