# p_0,p_1,p_2
1.994592623709868118e+00,4.262472982063052918e+00,1.133081827075789416e+00
1.554039618663846767e+00,4.170696887049031076e+00,1.700784331667379856e-01
2.043722970845318621e+00,3.633585223635358741e+00,1.616817993683756560e+00
2.052944533100944380e+00,4.103102517079309841e+00,3.427580257361843019e-01
2.129174499794794784e+00,3.493474552557258583e+00,6.183532318356035340e-01
1.552759653128615192e+00,3.265679462370441932e+00,1.674179406110557267e+00
1.201288927631448011e+00,3.235269744313504336e+00,1.011992837763752373e+00
2.654797047106553620e+00,3.766242028388045338e+00,2.222056975737245477e-01
2.064751615619624836e+00,3.857837667237344004e+00,7.131576929159209044e-01
1.450132655013832483e+00,3.519942545064947748e+00,1.728178770069616066e-01
1.789945341671383749e+00,3.307754787114141060e+00,7.975831770615409155e-01
1.203648948776684602e+00,3.984138925303077894e+00,1.039143975693842759e+00
2.787341043064668344e+00,4.074504010579848234e+00,1.859592383270745497e+00
1.167117370101495410e+00,4.582283256965345331e+00,9.238152089390292421e-01
1.345251237740774375e+00,3.902065559901989111e+00,1.376725771954106170e+00
2.277087053782536508e+00,3.941323440619607155e+00,7.517094802044280710e-01
1.968787315025511298e+00,3.233516061371724426e+00,1.781492823820937765e+00
1.834892204712927910e+00,4.424720667940693630e+00,9.476848947170732895e-01
1.945616894710348488e+00,3.419600038054581681e+00,8.818765767796894472e-01
1.813282682778806887e+00,4.192642112860901271e+00,1.231629599420725141e+00
1.830768991999800255e+00,3.558837230128317763e+00,1.216651450868587725e-01
2.323526668210788682e+00,3.772547336260064554e+00,1.280116828357100722e+00
1.414062628717921877e+00,3.458760166757494314e+00,1.459851755243096294e+00
1.421128448451909332e+00,3.838390896203720981e+00,1.121552292104287751e+00
2.218104956873736544e+00,3.686801486562966357e+00,1.532571551531592080e+00
1.492454995297313847e+00,3.754218410833733088e+00,5.591034436481350234e-01
2.148346970304923165e+00,4.121300693769856416e+00,1.153460684643821121e+00
1.896950949162469424e+00,3.808922789355763783e+00,5.958877353849978409e-01
1.900836367326180554e+00,3.220793403807113542e+00,8.506475540662615797e-01
1.109394777173566382e+00,3.747679874070665385e+00,1.660511639011760909e+00
1.218266115055401499e+00,4.156427830261328893e+00,1.554799726408698568e+00
1.965816254681113096e+00,4.679365423495520204e+00,2.166183003451067179e+00
2.906032399655186005e+00,4.623133939084710597e+00,1.283006241597561825e+00
2.056606649737868775e+00,4.517502707750121083e+00,1.333509843763445613e+00
2.279065684992344298e+00,4.381335850419546318e+00,1.495172825480918233e+00
2.275465951271364862e+00,4.381330455578655858e+00,1.186118892020205706e+00
1.299711894041865712e+00,2.941527020110117796e+00,6.240116219376130591e-01
1.201342134443380782e+00,3.945430378094162194e+00,2.265512528640761580e+00
2.103455256666985296e+00,3.253923209131472483e+00,1.319328607730006597e+00
2.557796651898759155e+00,4.005733482421036662e+00,8.578821813420217657e-01
1.809116097743237450e+00,4.830427751080884846e+00,1.753950435015883658e+00
2.068114010719142470e+00,5.014872709282680141e+00,2.195284138632179971e+00
2.062078938216566293e+00,4.658547939442957642e+00,4.763008446450130995e-01
1.319068956265961212e+00,4.107461147669262402e+00,1.004107120505579376e+00
2.851656822175962169e+00,3.920173187990418917e+00,8.192491551962537422e-01
1.610674536769193921e+00,3.775959568254165788e+00,8.827446752635045302e-01
1.799484678567510043e+00,4.288937271801867901e+00,4.439702222183818936e-01
1.921036001596484022e+00,4.417652828382624186e+00,1.377169730853924356e-01
2.893782599121918153e+00,4.279345847673324599e+00,6.477587220924814204e-01
3.249105660033047016e+00,4.187521645544366677e+00,2.920764401402757837e-01
2.855532818035248166e+00,4.269990579448007750e+00,4.735662095341282019e-01
1.919846441632178102e+00,2.598909156487592131e+00,1.270105086917219017e+00
1.641291313003199193e+00,3.836343095205549503e+00,1.065381068988281221e+00
1.939031441818442225e+00,3.385358175376660839e+00,1.786696383175630398e+00
2.162967230334089663e+00,4.488071453382943332e+00,1.591309311708736463e+00
2.608013405506668825e+00,4.054615538355959892e+00,1.841686736522680334e+00
1.325319989319001301e+00,2.992552221750360619e+00,1.176556510241714815e+00
1.867969628109640734e+00,3.353748283244188499e+00,7.119399640935942797e-01
1.548573866936453047e+00,4.229478267457073670e+00,1.878156080668986316e+00
1.564887783430728652e+00,3.787367818604023384e+00,1.555463758043857503e+00
1.704132290469092093e+00,3.796565698798532118e+00,7.842259860271776351e-01
2.540020954345807880e+00,4.336341315820892106e+00,9.275902449042724429e-01
1.669388628454896661e+00,3.797026489127228288e+00,7.719339895873089663e-02
1.511393609221931111e+00,4.582008862720927667e+00,1.032976133495794091e+00
1.870474737064104165e+00,3.381789059295436939e+00,1.645552990043235742e+00
1.948555435665176638e+00,4.730438290064012286e+00,1.296867431220318778e-01
3.213154077164557698e+00,3.777852939761614515e+00,1.166318164370059973e+00
2.927127242874239421e+00,3.652672864962664967e+00,2.624626338895931221e-01
2.079040083574357212e+00,4.421988446094864855e+00,9.197379782344824450e-01
2.658876639661558627e+00,4.920715319872538629e+00,1.211555260902075215e+00
2.120524960461307451e+00,3.352862393144308228e+00,9.287228577693564802e-01
2.003689118285685744e+00,3.893545506800017986e+00,1.046844534477481936e+00
1.261545343148818388e+00,4.209416241664642122e+00,1.043814675058606145e+00
2.668985092330945719e+00,4.420885585085429170e+00,1.135692034381480475e+00
2.140512785373904769e+00,3.286214524445989937e+00,5.628324935400749185e-01
1.795721853712884064e+00,4.426411467894542540e+00,9.619573469257878262e-01
1.500329491495887790e+00,3.747307690869471131e+00,1.401336253805315124e+00
2.321499493310032136e+00,4.532721454492563140e+00,1.709571164130264886e+00
1.926950872737661413e+00,4.020118456047990563e+00,7.315792900549833444e-01
1.114445729281048347e+00,3.604516427257961730e+00,1.042732996734456075e+00
1.372871915076952609e+00,3.433320565682151937e+00,5.296980845229962709e-01
1.761315070547994299e+00,3.608861106522311513e+00,1.436814367960733030e+00
2.620408440261197125e+00,4.532605616403924564e+00,1.979290941828432349e+00
1.960825669604084442e+00,3.410287625759524488e+00,6.404079372587203611e-01
2.485150138217417926e+00,3.976085517735403307e+00,1.428383122564127694e+00
2.365245840103111341e+00,3.337122072666507844e+00,1.646239163697288843e+00
1.802573534074438433e+00,4.533124363194464657e+00,5.848479196048841366e-01
1.284123726706789093e+00,5.021346994854587464e+00,3.876799009641536120e-01
1.672958110639859886e+00,4.327161029211316290e+00,8.734954486062772583e-01
2.147408045475599714e+00,3.223968154711248868e+00,3.751769565594046396e-01
2.245349963471659827e+00,4.356058504565972989e+00,3.194147043935473551e-01
1.379175300949487593e+00,4.107113780554644045e+00,1.484891775370381417e+00
1.932136728400885239e+00,3.738846694764287104e+00,2.560230329665008631e-01
1.720633308374103221e+00,3.324717269308501422e+00,3.322978368711138053e-01
2.254533445346505793e+00,4.100965622511537845e+00,1.456575215950054458e+00
1.577075930536312232e+00,4.328495703211315160e+00,4.970064746639525355e-01
2.308832843640881816e+00,3.135826482062478604e+00,1.272381555264253672e+00
2.623328945609393337e+00,4.701832375962397670e+00,1.110362228592675526e+00
3.046933984469751167e+00,3.850702791021205940e+00,7.361981342024073172e-01
1.496543252043470718e+00,4.652918440086967422e+00,1.541120665520590904e+00
1.217840402950256085e+00,3.434835069442912836e+00,9.050344251024501352e-01
1.597432789463053560e+00,3.477201271684664086e+00,1.791988348949297150e+00
2.628216247456033550e+00,4.013514209727228277e+00,8.479730608889510801e-01
1.859360358879116770e+00,4.025204827939043106e+00,8.355592235357925945e-01
1.670535288193811363e+00,4.323391183935318516e+00,1.712027221158934909e-01
1.764825074345484079e+00,3.890313309685332399e+00,2.053794895714549096e+00
2.025287657017456500e+00,3.182686232444388530e+00,6.312068298185291582e-02
1.235273193474847098e+00,3.839424359020781718e+00,1.715833475816676668e+00
1.798019755199835590e+00,4.684836975148558125e+00,1.220498218100107390e+00
2.075871237038189321e+00,4.641962216362458982e+00,9.005267207312801503e-01
1.112393658387538231e+00,3.438354719625357880e+00,2.986264270857093006e-01
1.310880181107379139e+00,4.977026097208123723e+00,1.290412260737652916e+00
2.622003360694013185e+00,4.707999515314421402e+00,7.220560234960952117e-01
2.581036037984140386e+00,4.158446084928628217e+00,6.705711341179905194e-01
